Metro Cash and Carry India Pvt Ltd DC 27,Metro Cash DC 27,NEEM,Franchisee,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 29,Metro Cash DC 29,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 32,Metro Cash DC 32,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 43,Metro Cash DC 43,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 45,Metro Cash DC 45,NEEM,Bridge 1,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 46,Metro Cash DC 46,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 48,Metro Cash DC 48,NEEM,Bridge 1,1,1,1,1,1
Metro Cash and Carry India Pvt Ltd DC 52,Metro DC 52,NEEM,SRP,1,1.5,1,1,1.5
Metro Cash and Carry India Pvt Ltd DC 54,Metro Cash DC 54,NEEM,SRP,1,1.5,1,1,1.5
Minda Industries Ltd,Minda Hosur,NEEM,SRP,1.5,1.5,1,1,1
Minda Industries Ltd,Minda Hosur,NEEM,SRP,1.5,1.5,1,1,1
Minda Industries Ltd (Lighting Division),Minda Lighting,NEEM,SRP,1.5,1.5,1,1.5,1.5
MINDA INDUSTRIES LTD (LIGHTING DIVISION).,Minda Chennai,NEEM,SRP,1.5,1.5,1,1,1
Minda Industries Ltd (Sensor 2),Minda Sensor 2,NEEM,SRP,1.5,1.5,1,1.5,1.5
Minda Industries Ltd (Switch Division),Minda Switch Div,NEEM,SRP,1.5,1.5,1,1.5,1.5
Minda Industries Ltd (Switch Division),Minda Switch Div,NEEM,SRP,1.5,1.5,1,1.5,1.5
MINDA KATOOLEC ELECTRONIC SERVICES PVT LTD,MINDA KATOOLEC,NEEM,SRP,1,1.5,1,1,1.5
MINDA KYORAKU LIMITED,Minda Kyoraku,NEEM,SRP,1.5,1.5,1,1,1.5
Minda Rinder Private Limited,Minda Rinder Hosur,NEEM,SRP,1.5,1.5,1,1.5,1.5
Minda Rinder Private Limited,Minda Rinder Hosur,NEEM,SRP,1.5,1.5,1,1.5,1.5
Mitsuba Sical India Private Limited,Mitsuba,NEEM,SRP,1.5,1.5,1,1,1
Mivin Engg Technologies Pvt Ltd,Mivin Engg,NEEM,Franchisee,1,1,1,1,1
Moldtek Packaging Ltd,Moldtek,NEEM,SRP,1,1.5,1,1,1.5
Mothersons Automotive Technologies & Engineering,Mate,EL,SRP,1.5,1.5,1,1,1
Mothersons Automotive Technologies & Engineering,Mate,EL,SRP,1.5,1.5,1,1,1
MUTUAL AUTOMOTIVE PRIVATE LIMITED,Mutual Shikrapur,NEEM,SRP,1.5,1.5,1,1,1.5
MUTUAL AUTOMOTIVE PRIVATE LIMITED,Mutual Sanaswadi.,NEEM,SRP,1.5,1.5,1,1,1.5
Neosym Industry Ltd,Neosym,NEEM,SRP,1.5,1.5,1,1,1
Neosym Industry Ltd,Neosym,NEEM,SRP,1.5,1.5,1,1,1
Neosym Industry Ltd,Neosym,NEEM,SRP,1.5,1.5,1,1,1
Nexteer Automotive India Private Limited,Nexteer,NEEM,SRP,1,1.5,1,1,1
Nexteer Automotive India Private Limited.,Nexteer Pune,NEEM,SRP,1,1.5,1,1,1
Nipro India Corporation Pvt Ltd,Nipro,NEEM,SRP,1,1.5,1,1,1
Nipro Pharma Packaging India Private Limited,Nipro Pharma,NEEM,SRP,1,1.5,1,1,1
